10003	WARN	(Vulnerable JS Library)
10010	WARN	(Cookie No HttpOnly Flag)
10011	WARN	(Cookie Without Secure Flag)
10015	WARN	(Re-examine Cache-control Directives)
10017	WARN	(Cross-Domain JavaScript Source File Inclusion)
10019	FAIL	(Content-Type Header Missing)
10020	IGNORE	(Anti-clickjacking Header)
10021	WARN	(X-Content-Type-Options Header Missing)
10023	FAIL	(Information Disclosure - Debug Error Messages)
10024	FAIL	(Information Disclosure - Sensitive Information in URL)
10025	FAIL	(Information Disclosure - Sensitive Information in HTTP Referrer Header)
10027	WARN	(Information Disclosure - Suspicious Comments)
10028	FAIL	(Off-site Redirect)
10033	FAIL	(Directory Browsing)
10035	IGNORE	(Strict-Transport-Security Header)
10036	WARN	(HTTP Server Response Header)
10037	FAIL	(Server Leaks Information via X-Powered-By HTTP Response Header)
10038	IGNORE	(Content Security Policy Header Not Set)
10049	WARN	(Storable and Cacheable Content)
10054	WARN	(Cookie without SameSite Attribute)
10055	IGNORE	(CSP)
10062	FAIL	(PII Disclosure)
10063	WARN	(Permissions Policy Header Not Set)
10096	WARN	(Timestamp Disclosure)
10097	WARN	(Hash Disclosure)
10098	FAIL	(Cross-Domain Misconfiguration)
10099	FAIL	(Source Code Disclosure)
10105	FAIL	(Weak Authentication Method)
10108	IGNORE	(Reverse Tabnabbing)
10110	FAIL	(Dangerous JS Functions)
10202	IGNORE	(Absence of Anti-CSRF Tokens)
2	WARN	(Private IP Disclosure)
3	FAIL	(Session ID in URL Rewrite)
50001	WARN	(Script Passive Scan Rules)
90001	FAIL	(Insecure JSF ViewState)
90002	FAIL	(Java Serialization Object)
90003	IGNORE	(Sub Resource Integrity Attribute Missing)
90004	WARN	(Insufficient Site Isolation Against Spectre Vulnerability)
90011	WARN	(Charset Mismatch)
90022	FAIL	(Application Error Disclosure)
90030	WARN	(WSDL File Detection)
90033	FAIL	(Loosely Scoped Cookie)
